None	2023-02-23-10-48-27	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-10-48-27	2023-02-23-10-56-20	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-10-56-20	2023-02-23-11-12-06	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-11-12-06	2023-02-23-13-46-44	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-13-46-44	2023-02-23-16-19-46	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-16-19-46	2023-02-23-18-55-14	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-18-55-14	2023-02-23-21-27-09	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-23-21-27-09	2023-02-24-00-01-14	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-00-01-14	2023-02-24-02-33-02	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-02-33-02	2023-02-24-05-05-38	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-05-05-38	2023-02-24-07-38-58	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-07-38-58	2023-02-24-10-14-52	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-10-14-52	2023-02-24-12-50-05	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-12-50-05	2023-02-24-15-26-16	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
2023-02-24-15-26-16	2023-02-24-18-02-12	{"gen_hidden_lst": [50, 50, 50], "dis_hidden_lst": [50, 50, 50], "combo_hidden_lst": [50, 50, 50], "gen_lr": [0.01, 0.01, 0.01, 0.01], "gen_epoch": [500, 1000, 10000], "gen_decay": 0.1, "gen_scheduler_step": 100000, "dis_lr": [0.01, 0.1, 0.1, 0.1, 0.1, 0.01], "dis_epoch": [500, 1000, 10000], "dis_loss": [1], "dis_decay": 0.1, "dis_scheduler_step": 50000, "combo_lr": [0.001], "combo_epoch": [100000], "combo_decay": 0.1, "combo_scheduler_step": 50000, "gen_sample": [128], "dis_sample": [128], "combo_sample": [128, 128], "gen_solver": ["Adam"], "dis_solver": ["Adam"], "combo_solver": ["Adam"], "total_rounds": 15, "visualize_obs": 0, "train_gen": true, "train_dis": true, "use_pretrained_gen": true, "use_pretrained_dis": true, "use_pretrained_combo": true, "use_true_mu": true, "use_fast_var": true, "last_round_dis": true, "seed": 0, "ckpt_freq": 10000, "use_combo": false, "clearing_known": true}
